text,start,duration
think about how often you encounter the,0.04,3.28
following scenario there's a task you're,1.68,3.76
trying to complete but in order to do,3.32,4.36
that simple task you have all this,5.44,4.76
background you have to have all these,7.68,4.36
documents you have to read slide,10.2,3.72
presentations to go over people you have,12.04,4.84
to talk to Concepts you have to,13.92,6.519
understand the problem is who in a crazy,16.88,5.8
busy workday has time to sit down and,20.439,4.961
spend hours reading,22.68,5.48
things hey everyone about a year ago I,25.4,5.08
released a YouTube video on a new,28.16,4.96
experimental AI platform from Google,30.48,5.239
called notebook LM but you know I,33.12,3.8
thought this is probably not going to go,35.719,2.801
anywhere it's just a beta just an,36.92,3.6
experiment but let me tell you I was,38.52,4.16
completely wrong let me show you the,40.52,4.32
five biggest new features that notebook,42.68,4.32
LM has come up with and no this video is,44.84,4.32
not sponsored now before I show my,47.0,3.92
screen I want to answer what I think is,49.16,4.28
a really fundamental question which is,50.92,4.439
what is notebook,53.44,4.88
lm4 especially how is it unique and,55.359,4.601
different from some of the other AI,58.32,3.84
tools out there like chat GPT well I was,59.96,4.08
reading one of the blog posts that the,62.16,4.319
notebook LM team had written and in that,64.04,4.719
post they called it a tool for,66.479,3.68
understanding and I think that's the,68.759,3.321
best simple description I've seen it's,70.159,4.121
the ultimate tool for understanding,72.08,4.52
things there's a lot to cover so buckle,74.28,5.0
up grab a cup of coffee and let's Dive,76.6,5.28
Right In first let's talk about audio,79.28,4.44
overviews imagine if you were setting,81.88,3.279
something or learning something or,83.72,3.399
reading something and you just happen to,85.159,4.201
come across a podcast in your podcast,87.119,4.521
app between two super engaging,89.36,4.52
knowledgeable hosts explaining that,91.64,4.519
thing to you well now you don't have to,93.88,5.4
be lucky you can generate exactly that,96.159,6.081
conversation on demand anytime you want,99.28,4.6
what you see here on my screen is the,102.24,3.64
main interface when you log in at,103.88,5.48
notebook lm. goole.com it's very simple,105.88,5.599
each one of these squares contains all,109.36,4.6
the material for a specific project so,111.479,3.6
the first thing you're usually going to,113.96,3.92
do is Click create new and add some,115.079,4.841
sources these are the sources that you,117.88,3.599
want it to know about that you want it,119.92,4.08
to site and draw from so the project I,121.479,4.761
have in mind is an upcoming trip to,124.0,4.239
Guatemala that my family and I are,126.24,3.879
